spotify_id,song,artist
41LPm8IdY6jUpgRZVF8bbN,Dangerous Games,112
55huKwzIFDvA1c5dbffrZ7,Let This Go,112
6lQNEGerEOHaGYTjUvICKm,What If,112
42fP7hJdGighyRGkuSMFum,We Goin' Be Alright,112
3782eeDnDY4aSqxMcjaFhs,That's How Close We Are,112
6dxtedZMUdFEiEtq5IXBEJ,What The Hell Do You Want,112
2Vbou1LqJLVEomJPzMzmW6,Knock U Down (Interlude),112
5j5JDTt9ObaaZIE2QA16hM,Knock U Down,112
6EbzdoQBCyM0b9VB4F5uwc,Na Na Na Na,112
7DEZNjLzxIYPjLpCkxJe7J,112 Intro,112
769geiA8btidGHda4BBDOJ,It's over Now,112
3GuliNti6PIEJoqUoPp8Wl,"Q, Mike, Slim, Daron (Interlude)",112
1e7BgRrZ1uNwSzEuGRosuP,So Much Love (Interlude),112
62aa75nKO5orJZ1AIOeled,Anywhere (Interlude),112
0Zze3tFRSNwL6KllmYjLgZ,Anywhere,112
4za4hwET81Hncno04XQKAa,Love You Like I Did,112
0RHzTQTTZeRo2vJP2hYyzb,Funny Feelings,112
51yS6YoDxKGu4vnE4anuAR,Someone to Hold,112
1NSCBsrYgjkmNiNSgiMLzK,Your Letter,112
5zs3omxCtxQulnYDO4zgbB,112 Intro,112
0uuu6GPfF36MPr6SKMHvuF,Come See Me,112
7DVeWlH6Dt4B03mZf1O7ni,Can I Touch You,112
2Ge0R0U8XkIlQqptp1xjNc,Keep It Real (Interlude),112
29N30JZul2tkzaaNRXYDDn,Just a Little While,112
7nIfaQmzvNiyGmFwcmLQNV,Island Sun,311
08PvXG03fRNHfqAau4MEn0,Perfect Mistake,311
313WIxizOJTSXAQEN3svpa,Inside Our Home,311
0QBYbBggXuCtacEOnK2XZH,Face in the Wind,311
4x10rL82BMaDO2lDTfTFjp,Let the Cards Fall,311
4pRudfhvCR7shbCSwSww44,Tribute,311
5s1JUw6w16x71Sbfwvnwgp,How Long Has It Been,311
1zRIisrQaTEXpn3on2kqmM,Sun Come Through,311
0hoqPQiIMBbsagyGXTvAoG,Who's Got the Herb (2001),311
0sZZiB9CcmiSaPtcJsGokM,Five of Everything,311
5Hzy3gAvtvjB1wV4YOH5n1,Boom Shanka,311
6DwvhycpYe0wLDTrT3MoqL,Make It Rough,311
6OmB4CMbhV1N2lGrbjokPN,Friday Afternoon,311
1Sl1aytAoU2YxQ1O5lWY6I,Simple True,311
1S4kOXeUfpQYzbOjs1irMI,Tranquility,311
6h5fzBVkcK0pqPN5eQnWSV,Golden Sunlight,311
103INN5AYjwTetUYLI2uS5,Too Much Too Fast,311
2kqSe5PPeLBNxjeiUaCUti,Never Ending Summer,311
66FYmIiiQeybfECuFfa4vv,Two Drops In The Ocean,311
6yOPX1S5NZ247ewTwAUYgC,Something Out Of Nothing,311
38O8twCjd0qrh7GweNVBHp,Thank Your Lucky Stars,311
7kd2IakWDyB4vkLOQCXDQF,Frolic Room,311
0MxIsMykufohrTVx6gNxF9,Solar Flare,311
0hZQJ5YLFbIAjAozuXLnP8,There's Always An Excuse,311
2eXybTEWeIc8y4WMJQwL6l,All Mixed Up,311
4uDyDNNm17tpD7YJhjQl97,You Wouldn't Believe,311
1EAyT437VxVnF4U2EI6Spe,Don't Stay Home,311
6pqjhO9cDziDKLK0Oejaqz,Beyond the Gray Sky,311
3mtukCAgd0mE260QcBfXAX,Love Song,311
3BKVw29hyMoEYMI2HH7nAx,You Wouldn't Believe,311
7EMWCOqZLlZyzLe5TVrILt,Full Ride,311
1KYDNafBPlfVqfwfSRYls1,I Told Myself,311
4cSSUpptr7r125fK5nRJhP,Champagne,311
2KAfir4rYPp52o9NzAbjZZ,Hostile Apostle,311
52haIktp7XPqdfnRRi3Yq4,Can't Fade Me,311
0YvvSz15Wnc6PmHYy0KcEf,Strong All Along,311
6OqRH1Hu3NsYeigbVmVCcu,Eons,311
5kew37U5hM3V9D65RWOye2,Prisoner,311
3nbFLdwlbUREwisT9VfKut,What Was I Thinking,311
7rn2tNsU2OgHE34PDFWKso,The Continuous Life,311
4P3OOVXnOjbgfvEvuiupDj,Creature Feature,311
5EOGvfbwZB7xuw6HwRXsLD,Rub a Dub,311
2hIiQV8VG5TnfOdfBB7ovF,Stealing Happy Hours,311
2JFOi1m1TO2E6lRnPQTVug,8:16 A.M.,311
41xw9dKs2B4SE6PyMhD8HN,Taiyed,311
5WVGugnVfu4umuRzBltuLs,Stringing Me Along,702
7DsYOiZjucsKMBBoN823TA,"Blah, Blah, Blah, Blah",702
2eBRHwViH9G87cYHeyWviu,Better Day (Ghetto Girl),702
7lrb8HhlINBFnwBif7pD0i,You'll Just Never Know,702
1a5qcT0F4OIxNKxrtRcemG,Tell Your Girl,702
7pfm2SPFWlx3YhKPpFJjaM,What More Can He Do,702
7BrDkcHwdyUVKIO3QS8dQP,Will You Be OK,702
5Jv0xtOTbjkJI9li5WC2fF,All I Want,702
0JyiHcLV1KgCBJsP4SAKSJ,Word Iz Bond,702
54zhDsAZ3VZvNzKD62niOi,Boys In The Gang,999
0Atug4mWd6C10PQLUvL0E1,Must Be The Moon,!!! (Chk Chk Chk)
5PRM1a5qRJpsFzkz8VyRUY,Bend Over Beethoven,!!! (Chk Chk Chk)
37cY8HOyrpSc3QbeHQBc3C,Lame Claim to Fame,"""Weird Al"" Yankovic"
0WJTdVboKc2KI1DzzAWyYM,Foil,"""Weird Al"" Yankovic"
2cMQ8NDfKUCnTVnMndFEge,Sports Song,"""Weird Al"" Yankovic"
5mN0UUIKMVtnfsW8lhwzqY,NOW That's What I Call Polka!,"""Weird Al"" Yankovic"
740yKLJWt6JI14mthJOIyu,First World Problems,"""Weird Al"" Yankovic"
1ZqKCseNe8FIZRDyl2E2Ac,Tacky,"""Weird Al"" Yankovic"
1zYtQplEXZK3EeQYjQdynI,Jackson Park Express,"""Weird Al"" Yankovic"
4uiOr8JwetRPONxHH60a7M,"Perform This Way (Parody of ""Born This Way"" by Lady Gaga)","""Weird Al"" Yankovic"
6oraLzkpoAHXNaLDh1H2b7,CNR,"""Weird Al"" Yankovic"
5082f0BqXte48i3dpWmcJN,Skipper Dan,"""Weird Al"" Yankovic"
